company,title,location,location_metro,location_type,salary,annual_salary_min,annual_salary_max,seniority,function,date_posted,source_url
carta,Solutions Engineer,"London, England","London, UK",onsite,,,,mid,sales,2026-02-17 16:00:54,https://job-boards.greenhouse.io/carta/jobs/7543368003
carta,Brand Strategy Manager / Senior Brand Strategy Manager,"London, England ","London, UK",onsite,,,,manager,marketing,2026-02-17 13:12:21,https://job-boards.greenhouse.io/carta/jobs/7634400003
carta,"Account Executive, SPV","New York City, New York",New York Metro,onsite,,,,mid,sales,2026-02-13 17:46:35,https://job-boards.greenhouse.io/carta/jobs/7632093003
carta,"Sales Development Representative, Asia",Singapore,Singapore,onsite,,,,mid,sales,2026-02-13 16:23:08,https://job-boards.greenhouse.io/carta/jobs/7546701003
carta,Solutions Engineer,"Abu Dhabi, UAE","Abu Dhabi, UAE",onsite,,,,mid,sales,2026-02-13 16:15:00,https://job-boards.greenhouse.io/carta/jobs/7506068003
carta,Sales Development Representative,"San Francisco, CA",San Francisco Bay Area,onsite,"$58,998 - $98,330",58998.0,98330.0,mid,sales,2026-02-13 14:58:38,https://job-boards.greenhouse.io/carta/jobs/6339002003
carta,Sales Compensation Lead,"San Francisco, CA",San Francisco Bay Area,onsite,"$157,250 - $185,000",157250.0,185000.0,senior,finance,2026-02-12 00:19:39,https://job-boards.greenhouse.io/carta/jobs/7592140003
carta,LP Portfolio Analytics Client Partner,"New York, NY; Hamilton, NJ; San Francisco, CA; Santa Clara, CA; Seattle, WA; Sandy, UT",New York Metro,onsite,"$152,000 - $190,000",152000.0,190000.0,mid,operations,2026-02-11 16:22:02,https://job-boards.greenhouse.io/carta/jobs/7477218003
carta,"Senior HRBP, R&D ","San Francisco, CA",San Francisco Bay Area,onsite,"$139,400 - $164,000",139400.0,164000.0,senior,people,2026-02-10 02:46:08,https://job-boards.greenhouse.io/carta/jobs/7551318003
carta,"Senior Account Executive, Limited Partners",Singapore,Singapore,onsite,,,,senior,sales,2026-02-09 19:48:54,https://job-boards.greenhouse.io/carta/jobs/7503884003
carta,Lifecycle Marketing Specialist,"San Francisco, CA",San Francisco Bay Area,onsite,"$98,600 - $116,000",98600.0,116000.0,mid,marketing,2026-02-09 18:24:13,https://job-boards.greenhouse.io/carta/jobs/7590431003
carta,Loan Operations Associate,"Sandy, UT",Salt Lake City Metro,onsite,,,,associate,operations,2026-02-09 14:00:56,https://job-boards.greenhouse.io/carta/jobs/7614152003
carta,"Senior Program Manager, Account Management Strategy & Operations","New York, NY",New York Metro,onsite,"$129,200 - $152,000",129200.0,152000.0,manager,engineering,2026-02-05 21:08:57,https://job-boards.greenhouse.io/carta/jobs/7614162003
carta,"Senior Human Resources Business Partner, GTM","San Francisco, CA",San Francisco Bay Area,onsite,"$139,400 - $164,000",139400.0,164000.0,senior,people,2026-02-05 17:35:53,https://job-boards.greenhouse.io/carta/jobs/7621029003
carta,"Director of Sales, Private Equity, Fund Admin","New York City, New York",New York Metro,onsite,"$400,000 - $460,000",400000.0,460000.0,director,sales,2026-02-05 17:16:36,https://job-boards.greenhouse.io/carta/jobs/7491517003
carta,Integrated Marketing Manager,"London, England","London, UK",onsite,,,,manager,marketing,2026-02-05 11:33:13,https://job-boards.greenhouse.io/carta/jobs/7617959003
